Coder_Name,production,sla,Status,Facility,Community,Speciality,Placement_Year,Placement_Month,Speciality
Princy Narthana Anbhalaghan,18,44,completed,Hospital,Family Wellness,Breast Surgery,2015,11,Ed
Raman Arunachalam,85,77.2,Pending,Ambulatory Surgical Center,Anchor Mental Health,Ortho,2017,3,Ed
Sharmistha Acharjee,61,81.2,completed,Doctor Office,Marys Center,Urology,2014,1,Ed
Tamilarasi Tharmalingam,86,68,completed,Urgent Care Clinic,Life Stride,General Surgery,2017,2,Ed
Revathi Balraj,47,71.2,Pending,Nursing Home,Life Stride,Thoracic Surgery,2015,8,Ed
Saranya Panneer,49,66,not started,Hospital,Psychiatric Center Chartered,ENT,2015,9,Ed
YogeshKumar Gopal,80,56,completed,Ambulatory Surgical Center,Family Wellness,GYN,2014,10,Ed
Princy Narthana Anbhalaghan,13,57.2,Pending,Doctor Office,Anchor Mental Health,Breast Surgery,2016,6,Ed
Raman Arunachalam,67,94.4,not started,Urgent Care Clinic,Marys Center,Ortho,2015,8,Ed
Sharmistha Acharjee,35,68,completed,Nursing Home,Life Stride,Urology,2017,7,Ed
Tamilarasi Tharmalingam,35,47.6,Pending,Hospital,Life Stride,General Surgery,2017,1,Ed
Revathi Balraj,100,72.4,not started,Ambulatory Surgical Center,Psychiatric Center Chartered,Thoracic Surgery,2015,3,Ed
Saranya Panneer,91,89.6,completed,Doctor Office,Family Wellness,ENT,2016,10,Ed
YogeshKumar Gopal,93,61.6,Pending,Urgent Care Clinic,Anchor Mental Health,GYN,2014,2,Ed
Princy Narthana Anbhalaghan,91,86.8,not started,Nursing Home,Marys Center,Breast Surgery,2017,8,Ed
Raman Arunachalam,10,58.4,completed,Hospital,Life Stride,Ortho,2017,11,Ed
Sharmistha Acharjee,30,87.2,Pending,Ambulatory Surgical Center,Life Stride,Urology,2017,2,Ed
Tamilarasi Tharmalingam,15,37.2,not started,Doctor Office,Psychiatric Center Chartered,General Surgery,2017,2,Ed
Revathi Balraj,86,50,completed,Urgent Care Clinic,Family Wellness,Thoracic Surgery,2017,1,Ed
Saranya Panneer,61,84.8,Pending,Nursing Home,Anchor Mental Health,ENT,2015,2,Ed
YogeshKumar Gopal,54,66.8,not started,Hospital,Marys Center,GYN,2014,2,Ed
Princy Narthana Anbhalaghan,65,68,completed,Ambulatory Surgical Center,Life Stride,Breast Surgery,2015,6,Ed
